               Epoch,          Train Loss,      Train Accuracy,     Validation Loss, Validation Accuracy
                   1,  1.2592999935150146,   53.96770095825195,  1.4729000329971313,  49.672698974609375
                   2,  0.9663000106811523,   64.37259674072266,  1.1888999938964844,   55.37889862060547
                   3,  0.8802000284194946,    67.7300033569336,  1.0058000087738037,   62.93119812011719
                   4,  0.8285999894142151,   69.75849914550781,  1.2145999670028687,  57.706199645996094
                   5,  0.7906000018119812,   71.20230102539062,  1.5870000123977661,   51.18439865112305
                   6,  0.7651000022888184,   72.17060089111328,  1.0342999696731567,   62.68709945678711
                   7,  0.7437999844551086,   72.93389892578125,  1.0046000480651855,   63.97060012817383
                   8,  0.7218000292778015,   73.75060272216797,   1.152500033378601,    59.3213996887207
                   9,    0.70660001039505,    74.3208999633789,  1.1761000156402588,  62.544700622558594
                  10,  0.6927000284194946,   74.85769653320312,  1.0794999599456787,   63.10459899902344
                  11,  0.6843000054359436,   75.21939849853516,  0.9757000207901001,   64.89579772949219
                  12,  0.6705999970436096,    75.6323013305664,  0.8996999859809875,   67.32389831542969
                  13,  0.6614999771118164,    76.0510025024414,  0.8801000118255615,   68.18990325927734
                  14,  0.6539999842643738,   76.29779815673828,  0.9192000031471252,   67.58660125732422
                  15,  0.6492000222206116,    76.4363021850586,  0.8518999814987183,    69.0363998413086
                  16,  0.6403999924659729,   76.78700256347656,  0.8445000052452087,   69.62809753417969
                  17,  0.6341000199317932,    77.0469970703125,  0.9125000238418579,   67.20539855957031
                  18,  0.6284000277519226,   77.23519897460938,  0.9768000245094299,   66.32959747314453
                  19,  0.6248999834060669,    77.3895034790039,  1.0599000453948975,   66.16510009765625
                  20,  0.6182000041007996,    77.6050033569336,  0.8571000099182129,   69.75199890136719
                  21,  0.6151999831199646,    77.7344970703125,  0.8730999827384949,    68.3385009765625
                  22,  0.6111999750137329,   77.90709686279297,  0.8826000094413757,   69.51930236816406
                  23,  0.6050000190734863,   78.14199829101562,  0.8661999702453613,   68.65249633789062
                  24,  0.6007999777793884,   78.28130340576172,  0.9151999950408936,   67.87760162353516
                  25,  0.5989000201225281,   78.35150146484375,   0.870199978351593,    69.1707992553711
                  26,  0.5943999886512756,   78.47799682617188,  0.8849999904632568,   68.25530242919922
                  27,  0.5916000008583069,   78.63580322265625,   0.868399977684021,   68.58879852294922
                  28,  0.5874999761581421,   78.74410247802734,  0.8363999724388123,   71.09829711914062
                  29,   0.585099995136261,     78.885498046875,  0.9653000235557556,   66.11199951171875
                  30,   0.583299994468689,   78.93579864501953,  0.8668000102043152,    69.0072021484375
                  31,  0.5788000226020813,    79.0363998413086,  0.8859999775886536,    69.4176025390625
                  32,  0.5756000280380249,   79.19609832763672,  0.8396000266075134,   71.39459991455078
                  33,  0.5741000175476074,   79.21820068359375,  0.8985999822616577,   69.68299865722656
                  34,  0.5745999813079834,    79.2156982421875,  0.8313999772071838,   70.62590026855469
                  35,  0.5687000155448914,   79.45429992675781,  0.8734999895095825,   70.21549987792969
                  36,  0.5692999958992004,   79.45390319824219,   0.795799970626831,    71.9271011352539
                  37,  0.5665000081062317,   79.48210144042969,  0.8481000065803528,   71.42109680175781
                  38,  0.5648000240325928,    79.5958023071289,  0.7888000011444092,    72.3595962524414
                  39,  0.5623999834060669,   79.66480255126953,  0.8514999747276306,   70.69930267333984
                  40,  0.5619999766349792,   79.71269989013672,   0.791700005531311,     71.293701171875
                  41,  0.5586000084877014,   79.80400085449219,  0.8222000002861023,   72.51000213623047
                  42,  0.5572999715805054,   79.89129638671875,  0.8163999915122986,   70.94080352783203
                  43,  0.5548999905586243,   79.91940307617188,   0.765500009059906,   73.50689697265625
                  44,  0.5533000230789185,   80.06490325927734,  0.7519000172615051,   73.30609893798828
                  45,  0.5530999898910522,   80.04190063476562,  0.7620000243186951,   72.95580291748047
                  46,  0.5512999892234802,   80.07469940185547,  0.8252999782562256,   71.82620239257812
                  47,  0.5498999953269958,   80.19650268554688,  0.9223999977111816,   69.57240295410156
                  48,  0.5473999977111816,   80.21620178222656,  0.8205999732017517,   71.79090118408203
                  49,   0.546999990940094,   80.25199890136719,  0.7979999780654907,   72.86289978027344
                  50,  0.5461999773979187,   80.27639770507812,  0.8079000115394592,    73.0645980834961
                  51,  0.5437999963760376,   80.34500122070312,   0.849399983882904,   71.51129913330078
                  52,  0.5446000099182129,    80.3467025756836,  0.8278999924659729,   70.60639953613281
                  53,  0.5421000123023987,   80.44029998779297,  0.7609000205993652,   73.80680084228516
                  54,  0.5422999858856201,   80.37429809570312,  0.8285999894142151,   71.14340209960938
                  55,  0.5410000085830688,   80.43890380859375,  0.7939000129699707,   72.81069946289062
                  56,  0.5403000116348267,   80.52369689941406,  0.7857999801635742,   72.62319946289062
                  57,  0.5378999710083008,   80.56520080566406,  0.7634000182151794,   74.14199829101562
                  58,  0.5374000072479248,   80.57099914550781,  0.7648000121116638,   72.99120330810547
                  59,  0.5354999899864197,   80.67430114746094,  0.7936000227928162,       73.3291015625
                  60,  0.5339999794960022,   80.68800354003906,   0.794700026512146,   73.30789947509766
                  61,  0.5360000133514404,    80.6635971069336,  0.7386999726295471,   73.85540008544922
                  62,  0.5353000164031982,   80.68470001220703,  0.7775999903678894,   72.68160247802734
                  63,  0.5335999727249146,   80.74700164794922,  0.7727000117301941,    72.5250015258789
                  64,  0.5314000248908997,   80.83820343017578,  0.7764000296592712,   72.92479705810547
                  65,  0.5307000279426575,    80.8407974243164,  0.7753000259399414,   73.47859954833984
                  66,  0.5309000015258789,   80.84510040283203,  0.7483999729156494,   74.31449890136719
